id,season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
7918,2018,Hyderabad,SRH,KXIP,KXIP,field,normal,0,SRH,13,0,AS Rajpoot,"Rajiv Gandhi International Stadium, Uppal",O Nandan,Yeshwant Barde,Rod Tucker
7919,2018,Delhi,DD,KKR,KKR,field,normal,0,DD,55,0,SS Iyer,Feroz Shah Kotla,C Shamshuddin,S Ravi,A Nanda Kishore
7920,2018,Pune,CSK,MI,MI,field,normal,0,MI,0,8,RG Sharma,Maharashtra Cricket Association Stadium,Chris Gaffaney,Nitin Menon,Anil Dandekar
7921,2018,Jaipur,SRH,RR,SRH,bat,normal,0,SRH,11,0,KS Williamson,Sawai Mansingh Stadium,Bruce Oxenford,A Nanda Kishore,S Ravi
7922,2018,Bangalore,RCB,KKR,KKR,field,normal,0,KKR,0,6,CA Lynn,M Chinnaswamy Stadium,Nigel Llong,Anil Chaudhary,Virender Kumar Sharma
7923,2018,Pune,CSK,DD,DD,field,normal,0,CSK,13,0,SR Watson,Maharashtra Cricket Association Stadium,C Shamshuddin,Anil Dandekar,O Nandan
7924,2018,Bangalore,RCB,MI,MI,field,normal,0,RCB,14,0,TG Southee,M Chinnaswamy Stadium,Marais Erasmus,Nitin Menon,Yeshwant Barde
7925,2018,Delhi,DD,RR,RR,field,normal,1,DD,4,0,RR Pant,Feroz Shah Kotla,O Nandan,Virender Kumar Sharma,Bruce Oxenford
7926,2018,Kolkata,CSK,KKR,KKR,field,normal,0,KKR,0,6,SP Narine,Eden Gardens,Kumar Dharmasena,A.D Deshmukh,Anil Chaudhary
7927,2018,Indore,KXIP,MI,MI,field,normal,0,MI,0,6,AS Yadav,Holkar Cricket Stadium,S Ravi,Anil Dandekar,C Shamshuddin
7928,2018,Pune,RCB,CSK,CSK,field,normal,0,CSK,0,6,RA Jadeja,Maharashtra Cricket Association Stadium,Nitin Menon,Yeshwant Barde,Marais Erasmus
7929,2018,Hyderabad,DD,SRH,DD,bat,normal,0,SRH,0,7,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Bruce Oxenford,O Nandan,Virender Kumar Sharma
7930,2018,Mumbai,MI,KKR,KKR,field,normal,0,MI,13,0,HH Pandya,Wankhede Stadium,Kumar Dharmasena,A.D Deshmukh,Anil Chaudhary
7931,2018,Indore,RR,KXIP,KXIP,field,normal,0,KXIP,0,6,M Ur Rahman,Holkar Cricket Stadium,C Shamshuddin,S Ravi,Anil Dandekar
7932,2018,Hyderabad,SRH,RCB,RCB,field,normal,0,SRH,5,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",Bruce Oxenford,Virender Kumar Sharma,O Nandan
7933,2018,Jaipur,RR,KXIP,RR,bat,normal,0,RR,15,0,JC Buttler,Sawai Mansingh Stadium,Marais Erasmus,Nitin Menon,Yeshwant Barde
7934,2018,Kolkata,MI,KKR,KKR,field,normal,0,MI,102,0,Ishan Kishan,Eden Gardens,Anil Chaudhary,K Ananthapadmanabhan,Kumar Dharmasena
7935,2018,Delhi,DD,SRH,DD,bat,normal,0,SRH,0,9,S Dhawan,Feroz Shah Kotla,C Shamshuddin,Anil Dandekar,S Ravi
7936,2018,Jaipur,CSK,RR,CSK,bat,normal,0,RR,0,4,JC Buttler,Sawai Mansingh Stadium,Marais Erasmus,Yeshwant Barde,Nitin Menon
7937,2018,Indore,KKR,KXIP,KXIP,field,normal,0,KKR,31,0,SP Narine,Holkar Cricket Stadium,O Nandan,Virender Kumar Sharma,Bruce Oxenford
7938,2018,Delhi,DD,RCB,RCB,field,normal,0,RCB,0,5,AB de Villiers,Feroz Shah Kotla,Kumar Dharmasena,Anil Chaudhary,K Ananthapadmanabhan
7939,2018,Pune,SRH,CSK,CSK,field,normal,0,CSK,0,8,AT Rayudu,Maharashtra Cricket Association Stadium,Marais Erasmus,Yeshwant Barde,Anil Dandekar
7940,2018,Mumbai,MI,RR,RR,field,normal,0,RR,0,7,JC Buttler,Wankhede Stadium,Nitin Menon,S Ravi,C Shamshuddin
7941,2018,Indore,KXIP,RCB,RCB,field,normal,0,RCB,0,10,UT Yadav,Holkar Cricket Stadium,Bruce Oxenford,Virender Kumar Sharma,O Nandan
7942,2018,Kolkata,RR,KKR,KKR,field,normal,0,KKR,0,6,Kuldeep Yadav,Eden Gardens,Kumar Dharmasena,Anil Chaudhary,Vineet Kulkarni
7943,2018,Mumbai,MI,KXIP,KXIP,field,normal,0,MI,3,0,JJ Bumrah,Wankhede Stadium,Marais Erasmus,Nitin Menon,Yeshwant Barde
7944,2018,Bangalore,RCB,SRH,SRH,field,normal,0,RCB,14,0,AB de Villiers,M Chinnaswamy Stadium,S Ravi,Anil Dandekar,C Shamshuddin
7945,2018,Delhi,DD,CSK,CSK,field,normal,0,DD,34,0,HV Patel,Feroz Shah Kotla,Kumar Dharmasena,Vineet Kulkarni,O Nandan
