match_id,inning,batting_team,bowling_team,over,runs,wickets,winner
14,1,KKR,SRH,10,8,0,KKR
14,1,KKR,SRH,11,12,0,KKR
14,1,KKR,SRH,12,7,0,KKR
14,1,KKR,SRH,13,14,0,KKR
14,1,KKR,SRH,14,9,0,KKR
14,1,KKR,SRH,15,7,1,KKR
14,1,KKR,SRH,16,12,0,KKR
14,1,KKR,SRH,17,14,0,KKR
14,1,KKR,SRH,18,4,1,KKR
14,1,KKR,SRH,19,9,1,KKR
14,1,KKR,SRH,20,9,1,KKR
14,2,SRH,KKR,1,5,0,KKR
14,2,SRH,KKR,2,5,0,KKR
14,2,SRH,KKR,3,9,0,KKR
14,2,SRH,KKR,4,13,0,KKR
14,2,SRH,KKR,5,7,0,KKR
14,2,SRH,KKR,6,6,0,KKR
14,2,SRH,KKR,7,2,1,KKR
14,2,SRH,KKR,8,1,0,KKR
14,2,SRH,KKR,9,5,0,KKR
14,2,SRH,KKR,10,6,1,KKR
14,2,SRH,KKR,11,11,1,KKR
14,2,SRH,KKR,12,10,0,KKR
14,2,SRH,KKR,13,15,0,KKR
14,2,SRH,KKR,14,3,1,KKR
14,2,SRH,KKR,15,15,1,KKR
14,2,SRH,KKR,16,3,0,KKR
14,2,SRH,KKR,17,13,0,KKR
14,2,SRH,KKR,18,3,1,KKR
14,2,SRH,KKR,19,11,0,KKR
14,2,SRH,KKR,20,12,0,KKR
15,1,DD,KXIP,1,8,0,DD
15,1,DD,KXIP,2,9,0,DD
15,1,DD,KXIP,3,5,0,DD
15,1,DD,KXIP,4,5,0,DD
15,1,DD,KXIP,5,14,0,DD
15,1,DD,KXIP,6,8,0,DD
15,1,DD,KXIP,7,6,1,DD
15,1,DD,KXIP,8,9,1,DD
15,1,DD,KXIP,9,7,0,DD
15,1,DD,KXIP,10,12,0,DD
15,1,DD,KXIP,11,7,0,DD
15,1,DD,KXIP,12,7,1,DD
15,1,DD,KXIP,13,6,1,DD
15,1,DD,KXIP,14,7,0,DD
15,1,DD,KXIP,15,10,0,DD
15,1,DD,KXIP,16,11,1,DD
15,1,DD,KXIP,17,13,0,DD
15,1,DD,KXIP,18,9,1,DD
15,1,DD,KXIP,19,16,0,DD
15,1,DD,KXIP,20,19,0,DD
15,2,KXIP,DD,1,2,0,DD
15,2,KXIP,DD,2,4,1,DD
15,2,KXIP,DD,3,11,0,DD
15,2,KXIP,DD,4,9,1,DD
15,2,KXIP,DD,5,7,1,DD
15,2,KXIP,DD,6,7,0,DD
15,2,KXIP,DD,7,7,0,DD
15,2,KXIP,DD,8,2,0,DD
15,2,KXIP,DD,9,4,0,DD
15,2,KXIP,DD,10,11,1,DD
15,2,KXIP,DD,11,8,1,DD
15,2,KXIP,DD,12,9,0,DD
15,2,KXIP,DD,13,4,0,DD
15,2,KXIP,DD,14,5,1,DD
15,2,KXIP,DD,15,13,0,DD
15,2,KXIP,DD,16,9,0,DD
15,2,KXIP,DD,17,12,0,DD
15,2,KXIP,DD,18,6,0,DD
15,2,KXIP,DD,19,4,1,DD
15,2,KXIP,DD,20,3,2,DD
16,1,GL,MI,1,3,1,MI
16,1,GL,MI,2,12,0,MI
16,1,GL,MI,3,6,0,MI
16,1,GL,MI,4,3,0,MI
16,1,GL,MI,5,7,0,MI
16,1,GL,MI,6,15,0,MI
16,1,GL,MI,7,3,0,MI
16,1,GL,MI,8,9,0,MI
16,1,GL,MI,9,9,0,MI
16,1,GL,MI,10,8,0,MI
16,1,GL,MI,11,6,0,MI
16,1,GL,MI,12,2,1,MI
16,1,GL,MI,13,10,0,MI
16,1,GL,MI,14,12,1,MI
16,1,GL,MI,15,15,0,MI
16,1,GL,MI,16,6,0,MI
16,1,GL,MI,17,19,0,MI
16,1,GL,MI,18,9,1,MI
16,1,GL,MI,19,12,0,MI
16,1,GL,MI,20,10,0,MI
16,2,MI,GL,1,6,1,MI
16,2,MI,GL,2,8,0,MI
16,2,MI,GL,3,11,0,MI
16,2,MI,GL,4,7,0,MI
16,2,MI,GL,5,15,0,MI
16,2,MI,GL,6,9,0,MI
16,2,MI,GL,7,7,0,MI
16,2,MI,GL,8,7,0,MI
16,2,MI,GL,9,15,0,MI
16,2,MI,GL,10,4,1,MI
16,2,MI,GL,11,3,0,MI
16,2,MI,GL,12,9,1,MI
16,2,MI,GL,13,5,0,MI
16,2,MI,GL,14,13,0,MI
16,2,MI,GL,15,13,0,MI
16,2,MI,GL,16,9,0,MI
16,2,MI,GL,17,13,0,MI
16,2,MI,GL,18,6,0,MI
16,2,MI,GL,19,9,1,MI
16,2,MI,GL,20,8,0,MI
17,1,PW,RCB,1,3,0,PWs
17,1,PW,RCB,2,8,0,PWs
17,1,PW,RCB,3,17,0,PWs
17,1,PW,RCB,4,13,0,PWs
17,1,PW,RCB,5,9,0,PWs
17,1,PW,RCB,6,5,0,PWs
17,1,PW,RCB,7,6,0,PWs
17,1,PW,RCB,8,7,1,PWs
17,1,PW,RCB,9,1,1,PWs
17,1,PW,RCB,10,10,0,PWs
17,1,PW,RCB,11,6,0,PWs
17,1,PW,RCB,12,7,0,PWs
17,1,PW,RCB,13,6,0,PWs
17,1,PW,RCB,14,11,0,PWs
17,1,PW,RCB,15,8,0,PWs
17,1,PW,RCB,16,10,1,PWs
17,1,PW,RCB,17,3,2,PWs
17,1,PW,RCB,18,2,2,PWs
17,1,PW,RCB,19,19,0,PWs
17,1,PW,RCB,20,10,1,PWs
17,2,RCB,PW,1,7,0,PWs
17,2,RCB,PW,2,11,1,PWs
17,2,RCB,PW,3,7,0,PWs
17,2,RCB,PW,4,10,0,PWs
17,2,RCB,PW,5,4,0,PWs
17,2,RCB,PW,6,3,1,PWs
